"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.igate.eshop.controller","src/com/igate/eshop/controller/EshopController.java","3","67","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"2","com.igate.eshop.controller","src/com/igate/eshop/controller/EshopController.java","3","76","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"3","com.igate.eshop.controller","src/com/igate/eshop/controller/EshopController.java","3","123","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"4","com.igate.eshop.controller","src/com/igate/eshop/controller/EshopController.java","3","127","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"5","com.igate.eshop.controller","src/com/igate/eshop/controller/EshopController.java","3","134","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"6","com.igate.eshop.entity","src/com/igate/eshop/entity/Product.java","4","7","Avoid unused imports such as 'javax.validation.constraints.Pattern'","Type Resolution Rules","UnusedImports"
"7","com.igate.eshop.entity","src/com/igate/eshop/entity/SubCategory.java","3","10","It is somewhat confusing to have a field name matching the declaring class name","Naming Rules","AvoidFieldNameMatchingTypeName"
"8","com.igate.eshop.test","src/com/igate/eshop/test/EshopDAOTest.java","4","5","Avoid unused imports such as 'org.junit.Assert'","Type Resolution Rules","UnusedImports"
"9","com.igate.eshop.test","src/com/igate/eshop/test/EshopDAOTest.java","3","50","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
"10","com.igate.eshop.test","src/com/igate/eshop/test/EshopDAOTest.java","3","57","JUnit assertions should include a message","JUnit Rules","JUnitAssertionsShouldIncludeMessage"
